key_mlbam,key_retro,key_fangraphs,name_last,name_first
455007,fritb801,-1,Fritz,Ben
113550,drauj101,1003485,Drauby,Jake
118365,marte001,1086,Martínez,Edgar
820233,cabrl101,-1,Cabrera,Luis
-1,drisj901,-1,Driscoll,Joe
121117,reyna001,72,Reynoso,Armando
121457,rosez101,1011202,Rosebraugh,Rosie
692225,campk002,-1,Campbell,Kristian
593958,rodre004,13164,Rodríguez,Eduardo
123221,theor101,1012949,Theobald,Ron
276537,richc001,163,Richard,Chris
123105,tates001,1012839,Tate,Stu
457821,bankw002,4661,Bankston,Wes
124559,woodc101,1014235,Woods,Clarence
122993,suskp101,1012732,Susko,Pete
114952,goodb101,1004856,Goodman,Billy
621051,wilss002,20353,Wilson,Steven
115988,hoakd101,1005866,Hoak,Don
818128,missj102,-1,Missouri,Jim
111738,burnh101,1001697,Burnett,Hercules
112615,conwe101,1002559,Conwell,Ed
114144,firod001,1004064,Firova,Dan
111607,browp103,1001555,Browne,Pidge
-1,roseb901,-1,Rosenberry,Bill
817799,perej104,-1,Pereira,José
121489,rothb102,1011238,Roth,Braggo
110442,bailf101,1000422,Bailey,Fred
818007,myerb104,-1,Myers,Bill
425817,foppj001,1688,Foppert,Jesse
657117,willa003,16309,Williams,Austen
114944,goodw101,1004865,Good,Wilbur
430631,aberr001,2187,Abercrombie,Reggie
118110,maddm001,1007944,Madden,Mike
430838,tavew001,1876,Taveras,Willy
592351,grayj003,14916,Gray,Jon
121806,sched101,1011556,Schesler,Dutch
819891,dallp101,-1,Dallas,Porter
622210,parmi001,13821,Parmley,Ian
116747,jordb001,658,Jordan,Brian
623507,lestj002,17737,Lester,Josh
120573,piezs101,1010343,Piez,Sandy
123352,tingr001,1013074,Tingley,Ron
115796,hensc001,1005680,Hensley,Chuck
119061,millc102,1008881,Miller,Charlie
592135,bedrc001,13360,Bedrosian,Cam
451532,billc001,5842,Billingsley,Chad
492653,huffg801,-1,Huff,George
122585,spenb101,1012318,Spencer,Ben
119062,millc101,1008880,Miller,Chuck
118599,mccom102,1008418,McCormick,Mike
122783,stews001,1012528,Stewart,Sammy
816429,younm101,-1,Young,Maurice
114301,fordg102,1004220,Ford,Gene
124687,younc103,1014365,Young,Charlie
-1,crisr901,-1,Christal,Randy
122714,steem101,1012458,Steevens,Morrie
